relation,original_accuracy,erased_accuracy,erased_ratio_accuracy,num_kn_rel,original_ppl,erased_ppl,ppl_increase_ratio,other_original_accuracy,other_erased_accuracy,other_erased_ratio_accuracy,other_original_ppl,other_erased_ppl,other_ppl_increase_ratio,time
BR01,0.0,0.0,0.0,20,197480.8785,331284.2669,0.6776,0.0,0.0,0.0,198478.8602,318326.2366,0.6038,547.6628029999993
BR02,0.0,0.0,0.0,20,224311.7198,434318.2779,0.9362,0.0,0.0,0.0,197291.2301,361282.6312,0.8312,550.1619632000002
BR03,0.0,0.0,0.0,20,73170.8813,91752.1281,0.2539,0.0,0.0,0.0,221484.7427,245304.8666,0.1075,552.0001104000003
BR04,0.0,0.0,0.0,20,205866.9027,339175.6267,0.6475,0.0,0.0,0.0,197383.1097,312042.1139,0.5809,559.0649236999998
BR05,0.0,0.0,0.0,20,217770.7815,382867.5885,0.7581,0.0,0.0,0.0,197462.2566,334282.9906,0.6929,567.5132997999972
BR06,0.0,0.0,0.0,20,234236.4403,457790.9417,0.9544,0.0,0.0,0.0,181237.4523,321726.9018,0.7752,551.2437911999987
BR07,0.0,0.0,0.0,20,219339.4931,367989.7754,0.6777,0.0,0.0,0.0,196399.2794,311044.2958,0.5837,563.0322900000028
BR08,0.0,0.0,0.0,20,222540.9097,407726.4763,0.8321,0.0,0.0,0.0,196866.4464,342479.8814,0.7397,541.6001747000009
BR09,0.0,0.0,0.0,20,216507.6781,408016.1472,0.8845,0.0,0.0,0.0,196283.6289,347024.2324,0.768,545.5280482999988
