model,avg_ig_kn,avg_base_kn,ig_inner_inter,ig_inter_inter,base_inner_inter,base_inter_inter
bert-base-cased,2.4857423795476894,41.474926253687315,1.4940519182563623,0.28186823992133725,28.698878361728344,23.44882005899705
bert-base-uncased,2.050147492625369,54.5771878072763,1.2798466244636104,0.34236971484759093,38.53561413944003,28.948692232055063
bert-large-cased,1.8810226155358898,88.41002949852508,1.1085949781195565,0.2784660766961652,60.53472192717849,36.76173058013766
bert-large-cased_incivility,3.799410029498525,88.32350049164208,1.9586183455835493,1.2870009832841691,61.00389811785699,37.585880039331364
bert-large-cased_requirement-completion,2.0010090817356208,86.93945509586277,1.2579275716794707,0.3031685166498486,59.31194172978914,35.63355196770939
bert-large-cased_requirement-type,3.741396263520157,88.45526057030482,1.993627055274674,1.2594690265486725,60.58533372987212,36.87840707964602
bert-large-cased_sentiment,4.918387413962635,84.61750245821042,2.33876449844925,1.4049950835791545,55.74092917534095,38.31397246804327
bert-large-cased_tone-bearing,3.9803343166175025,92.86529006882989,2.0479033011853676,1.2693903638151425,64.65725241109742,39.1856243854474
bert-large-uncased,1.2792527040314652,5.417895771878073,0.6350745634532863,0.0755260570304818,5.197667502230531,4.998800393313668
