model,n_relations,mean_num_kn_rel,mean_ppl_increase_ratio,mean_other_ppl_increase_ratio,avg_ig_kn,avg_base_kn,ig_inner_inter,ig_inter_inter,base_inner_inter,base_inter_inter
bert-base-cased,9,18.444444444444443,1.9325111111111108,1.3004555555555557,2.4857423795476894,41.474926253687315,1.4940519182563623,0.28186823992133725,28.698878361728344,23.44882005899705
bert-base-uncased,9,15.222222222222221,2.3397888888888887,2.030466666666667,2.050147492625369,54.5771878072763,1.2798466244636104,0.34236971484759093,38.53561413944003,28.948692232055063
bert-large-cased,9,15.11111111111111,1.7054444444444445,1.3048444444444443,1.8810226155358898,88.41002949852508,1.1085949781195565,0.2784660766961652,60.53472192717849,36.76173058013766
bert-large-cased_incivility,9,19.77777777777778,1.2015444444444445,0.8986222222222222,3.799410029498525,88.32350049164208,1.9586183455835493,1.2870009832841691,61.00389811785699,37.585880039331364
bert-large-cased_requirement-completion,9,15.666666666666666,1.8829666666666667,1.470322222222222,2.0010090817356208,86.93945509586277,1.2579275716794707,0.3031685166498486,59.31194172978914,35.63355196770939
bert-large-cased_requirement-type,9,19.444444444444443,1.1318333333333332,0.8328777777777777,3.741396263520157,88.45526057030482,1.993627055274674,1.2594690265486725,60.58533372987212,36.87840707964602
bert-large-cased_sentiment,9,20.0,0.9649444444444444,0.6913777777777779,4.918387413962635,84.61750245821042,2.33876449844925,1.4049950835791545,55.74092917534095,38.31397246804327
bert-large-cased_tone-bearing,9,19.11111111111111,1.2051888888888889,0.8791777777777777,3.9803343166175025,92.86529006882989,2.0479033011853676,1.2693903638151425,64.65725241109742,39.1856243854474
bert-large-uncased,9,12.777777777777779,1.7508666666666666,1.4196222222222223,1.2792527040314652,5.417895771878073,0.6350745634532863,0.0755260570304818,5.197667502230531,4.998800393313668
