model,task,biased_rel_removed,time,accuracy,perplexity
bert-large-cased,requirement_completion,None,65.93761109999998,0.5134137686302342,41.64735412597656
bert-large-cased,requirement_completion,BR01,63.13817970000002,0.5172168468981218,40.6530876159668
bert-large-cased,requirement_completion,BR02,64.00495920000003,0.503917179630666,44.98703384399414
bert-large-cased,requirement_completion,BR03,62.46026959999995,0.5195262935288313,40.013736724853516
bert-large-cased,requirement_completion,BR04,63.1976446000001,0.5175414364640883,39.068668365478516
bert-large-cased,requirement_completion,BR05,64.29715410000006,0.5132543711223915,42.6738395690918
bert-large-cased,requirement_completion,BR06,65.11369649999995,0.5231741573033708,34.99755859375
bert-large-cased,requirement_completion,BR07,65.09720850000008,0.5072805436139232,42.53057098388672
bert-large-cased,requirement_completion,BR08,66.61853760000008,0.5195887746596277,39.85710906982422
bert-large-cased,requirement_completion,BR09,64.13710719999995,0.5065404954077373,42.95763397216797
aieng-lab/bert-large-cased_requirement-completion,requirement_completion,None,64.7660066,0.5841929188737106,11.002368927001953
aieng-lab/bert-large-cased_requirement-completion,requirement_completion,BR01,63.690001699999996,0.5721685566288675,11.672064781188965
aieng-lab/bert-large-cased_requirement-completion,requirement_completion,BR02,64.36691069999998,0.5816240516999157,11.638496398925781
aieng-lab/bert-large-cased_requirement-completion,requirement_completion,BR03,64.71407049999999,0.5810009651178822,11.318222045898438
aieng-lab/bert-large-cased_requirement-completion,requirement_completion,BR04,64.3052126,0.5847445766270118,10.650120735168457
aieng-lab/bert-large-cased_requirement-completion,requirement_completion,BR05,64.7095789,0.5827823885215924,10.771839141845703
aieng-lab/bert-large-cased_requirement-completion,requirement_completion,BR06,64.1877101,0.5786054569077522,11.176217079162598
aieng-lab/bert-large-cased_requirement-completion,requirement_completion,BR07,63.90223089999995,0.577438938302979,11.42794418334961
aieng-lab/bert-large-cased_requirement-completion,requirement_completion,BR08,64.06231939999998,0.5741816635964291,11.365798950195312
aieng-lab/bert-large-cased_requirement-completion,requirement_completion,BR09,65.04636319999997,0.5770089285714286,11.207894325256348
